Disease,Remedy1,Remedy2,Remedy3
Fungal infection,Tea tree oil: Dilute a few drops of tea tree oil in a carrier oil like coconut oil and apply it to the affected area.,Oregano oil:  Dilute a few drops of oregano oil in a carrier oil and apply it to the affected area.,Turmeric:  Applying a paste of turmeric and water or turmeric and coconut oil to the affected area can help in reducing fungal infections.
Allergy,Hot Honey Water or Ginger Lemon Tea: Drinking hot honey water or ginger lemon tea can provide relief from acute kapha allergy symptoms.,"Chyawanprash Rasayana: This Ayurvedic formula, made from 48 different herbs, is known to be effective in treating allergic rhinitis.",
GERD,"Aloe Vera: Aloe vera, known as Ghrit Kumari in Ayurveda, is a marvelous panacea for GERD. It can help in soothing the digestive tract and promoting?gut?health?.","Tulsi (Holy Basil):  Its leaves contain volatile oils with strong carminative traits, relieving flatulence, gas, and hyperacidity.",Pippali: Mixing 1 tsp of pippali powder with honey in warm water after meals can effectively help in curing GERD symptoms .
Chronic cholestasis,"Herbal Formulations: Ayurvedic formulations such as Qianyinlidan decoction, Ursodesoxycholic acid tablet, and Danyufang have been used in the treatment of intrahepatic cholestasis of pregnancy.","Yakrit Plihantak Churna: This herbal remedy is considered effective in treating liver-related conditions, including jaundice, liver damage, fatty liver, and liver cirrhosis.",
Drug Reaction,Consultation with Ayurvedic Practitioners,Ayurvedic Diet and Lifestyle,
Peptic ulcer disease,"Kamdudha Ras: This Ayurvedic medicine, prepared by mixing various ingredients, is useful in curing Pitta and excessive hyperacidity, making it a good remedy for peptic ulcers ","Leelavilas Rasa: it can be taken in a dose of 1 tablet twice a day with honey, Dadimavaleha, Kushmandaavaleha, Durva juice, Chayvanprash,?or?amla?juice?.",Sutshekhar Ras:  The recommended dosage is 1 tablet twice a day with honey or misri .
AIDS," To improve the body's resistance and boost immune function, Ayurveda recommends herbs such as Amalaki , ashwagandh, guduchi and shatavari.",Chyavanprash avaleha has been found to be effective in improving overall?health?.,
Diabetes,Bitter gourd juice and cinnamon powder are considered effective herbal remedies?for?diabetes.,Amla and Triphala are Ayurvedic herbs that can help manage diabetes and maintain blood sugar levels ,"It also recommends a mixture of guduchi, shardunika, kutki, and punarnava to be taken with warm water two or three times a day to control high blood sugar ."
Gastroenteritis,Coriander (Cilantro): It improves symptoms of gastroenteritis such as nausea and diarrhea ,Asafetida: It can make the digestive tract more resistant to illness and is often recommended to be added to curry and vegetable dishes .,Mulethi (Licorice Root): Known for its natural remedy to treat indigestion and promote health.
Bronchial Asthma,"Sitopaladi Churna and Pippali powder, are mentioned as effective remedies for bronchial asthma",,
Hypertension,"Triphala: Known for its countless health benefits, triphala powder consumption is recommended for managing?hypertension.",Ashwagandha: This well-known Ayurvedic herb helps lower blood pressure and strengthens the mind and body .,Arjuna: The bark of the Arjuna tree is known for its anti-hypertensive properties and is used to control hypertension and reduce plaque accumulation in blood vessels .
Migraine,"Pathyadi khada, Shirashooladi vajra rasa, Mayura ghrita, and others are considered useful in the treatment?of?migraines?.",,
Cervical spondylosis,"Panchakarma Therapies:Ayurveda utilizes Panchakarma therapies, such as medicated enema or Basti, to improve the symptoms of cervical spondylosis.",,
Paralysis (brain hemorrhage),"Ayurvedic Therapies: Ayurvedic therapies such as Abhyanga (Ayurvedic massage), Shirodhara (pouring of medicated oil on the forehead), and Panchakarma (detoxification therapies) ",External Applications: External applications like Gunja taila may be used to support the recovery of paralysis.,
Jaundice,Turmeric: You can consume turmeric by adding it to your meals or by taking it in the form of capsules or a paste mixed?with?honey.,Arogyavardhini Vati: It may help improve liver function and promote the elimination of toxins from the body,
Malaria,Cinnamon: Adding cinnamon to your diet or consuming it as a tea may be beneficial.,"Neem:  Neem leaves can be boiled in water, and the water can be used for bathing or applied topically to the affected areas.",Grapefruit: Consuming grapefruit or its juice may help in managing symptoms and supporting the body's?immune?system.
Chicken pox,Coconut Oil: Coconut oil has moisturizing properties that can help soothe the skin and reduce itching. Apply a thin layer of coconut oil to the affected areas to alleviate?discomfort.,Calamine Lotion: Apply calamine lotion to the itchy areas of the skin using a clean finger or cotton swab. Avoid using calamine lotion around the eyes or on open sores.,Tulsi (Holy Basil):Tulsi leaves can be consumed directly or made into a tea by boiling them in water.
Dengue,"Papaya Leaf Juice:  Fresh papaya leaves can be washed, crushed, and the juice can be extracted. Consuming one tablespoon of papaya leaf juice daily may help boost platelet count naturally .",Giloy: Consuming Giloy juice or taking Giloy capsules as per the recommended dosage may be beneficial during dengue fever .,
Typhoid,"Bananas:  They can help reduce fever and treat diarrhea, which is a common symptom of typhoid. ",Sitopaladi Churna:Half a teaspoon of Sitopaladi churna can be taken with warm water.,
hepatitis A,Echinacea: Echinacea (Andrographis paniculata) is an herb that can help improve the immune system and stimulate the enzymes responsible for toxin secretion from the body,"Diet and Lifestyle Modifications: It is recommended to follow a balanced diet, avoid alcohol and processed foods, and incorporate liver-friendly foods such as bitter vegetables, turmeric, and fresh fruits. ",
Hepatitis B,Katuki: Katuki (Picrorhiza kurroa) is an herb that has been shown to increase gall bladder shrinkage and aid in digestion by curing liver ailments,Kalmegh: Kalmegh (Andrographis paniculata) is an Indian ayurvedic remedy that is known for its hepatoprotective properties and may be beneficial in managing hepatitis B.,
Hepatitis C,Bhumyamalaki: Bhumyamalaki (Phyllanthus niruri) is an herb known for its hepatoprotective properties. It may help in protecting the liver from damage caused by the hepatitis C virus.,Liv.52: Liv.52 is an Ayurvedic formulation that is commonly used for liver ailments. It is believed to have hepatoprotective and antioxidant properties.,
Hepatitis D,Arogyavardhini Vati: It may help improve liver function and promote detoxification.,Punarnava (Boerhavia diffusa):  It may help reduce inflammation in the liver and support its?overall?health.,
Hepatitis E,Bhumyamalaki (Phyllanthus niruri):  It may help reduce liver inflammation and support liver?regeneration.,Katuki (Picrorhiza kurroa): Katuki is an herb known for its hepatoprotective properties. It may help support liver function and promote liver detoxification.,Kalmegh (Andrographis paniculata): Kalmegh is an herb that is believed to have antiviral and hepatoprotective properties. It may help reduce inflammation in the liver and support its overall health.
Alcoholic hepatitis,Bhumyamalaki (Phyllanthus niruri): It may help reduce inflammation and support liver health in cases of alcoholic hepatitis.,Arogyavardhini Vati: Arogyavardhini Vati is an Ayurvedic formulation that is commonly used to support liver health. It may help improve liver function and promote?detoxification.,Liv 52: Liv 52 is an Ayurvedic formulation that is often used to support liver function and promote liver detoxification. It may help protect the liver from damage caused by alcohol consumption.
Tuberculosis,Brahmi (Waterhyssop): Brahmi is known for its adaptogenic properties and may help reduce stress and improve overall well-being during TB treatment.,Yashtimadhu (Mulethi): Yashtimadhu is known for its soothing and expectorant properties. It may help alleviate respiratory symptoms associated with TB.,
Common Cold,"Hot Water Consumption: It is recommended to drink hot water frequently throughout the day, especially at the first sign of a cold ."," Ginger:Consuming ginger tea or adding ginger to warm water with honey may help relieve symptoms of cold, flu, and cough .", Tulsi (Holy Basil):Tulsi leaves can be chewed directly or made into a tea by boiling them in water. Adding honey to the tea may enhance its?effectiveness.
Pneumonia,"Fenugreek Tea: To prepare fenugreek tea, boil a teaspoon of fenugreek seeds in 500ml of water. Add a few drops of honey to the tea and consume it. ","Ayurvedic Herbal Formulations: some commonly used herbs for pneumonia treatment in Ayurveda include amalaki (Indian gooseberry), kutaja (kurchi), bhringraj (bhangra), tila (sesame), guduchi (giloy), and vasa (malabar nut).",
Dimorphic hemmorhoids(piles),Dietary Modifications: Drinking an adequate amount of water throughout the day can also help soften the stool and ease bowel movements.,Sitz Baths: This can be done by filling a bathtub or a basin with warm water and sitting in it for 10-15 minutes.,
Heart attack,Ashwagandha: Ashwagandha is an adaptogenic herb that may help reduce stress and support heart health. It has been traditionally used in Ayurveda to strengthen the heart muscles .,Triphala:  It may help reduce blood fat levels and high?cholesterol.,Arjuna: . It may help maintain healthy blood pressure levels and support cardiovascular function 
Varicose veins,"Herbal Remedies:  However, it's important to consult with an Ayurvedic practitioner for the appropriate dosage and usage of these herbs.","Dietary Modifications:  Avoiding processed foods, excessive salt, and refined sugars is also recommended",
Hypothyroidism,Brahmi: Brahmi (Bacopa monnieri) is an herb known for its cognitive-enhancing properties. It may also help support thyroid function and improve overall?well-being.,Ashwagandha: Ashwagandha is an Ayurvedic herb known for its adaptogenic properties. It may help support thyroid function and balance hormone level,
Hyperthyroidism,Shankhapushpi or Convolvulus Pluricaulis Choisy: Shankhapushpi contains liver enzymes that may help in managing hyperthyroidism symptoms.,Amla or Emblica Officinalis Gaertn: Amla has various medicinal properties and is believed to help control both T3 and T4 hormonal?levels?.,
Hypoglycemia,Shatavari: Shatavari capsules or powder can be consumed as per the guidance of an Ayurvedic practitioner .,Ashwagandha: . Ashwagandha capsules or powder can be taken under the guidance of an Ayurvedic practitioner .,
Osteoarthristis,"Triphala: Preliminary studies suggest that the herbs in triphala have anti-inflammatory effects, which may help reduce joint inflammation .",Guggulu:  Studies have demonstrated decreased inflammation and joint swelling with the use?of?guggulu?.,
Arthritis,Ginger:  It has anti-inflammatory properties that can help reduce joint pain and stiffness. Consuming ginger tea or adding ginger to meals may provide relief,"Ajwain: Ajwain, also known as carom seeds, has analgesic and anti-inflammatory properties. It can help alleviate arthritis pain when consumed in the form of tea or added to meals ","Nirgundi:  It can help reduce joint pain and swelling associated with arthritis. Consuming Nirgundi leaves, applying Nirgundi oil, or making a paste of the leaves can be beneficial ."
(vertigo) Paroymsal Positional Vertigo,"Kaunch Beej: Kaunch Beej is an Ayurvedic herb that can help alleviate vertigo symptoms. It is believed to regulate tridoshic harmony, reduce dizziness, and restore bodily balance.",Ashwagandha:  It can help improve oxygen flow in the body and is commonly used for respiratory problems that may contribute to vertigo ,
Acne,Turmeric and mint leaves:  A paste made from turmeric and mint leaves can be applied to the affected areas to reduce inflammation and kill bacteria .,"Ayurvedic oral medicines: Ay These medications may include skin healing, dosha-calming, and blood-purifying herbs. Some commonly used Ayurvedic medicines for acne treatment include Triphala Guggulu, Arogyavardhini Vati, Maha Manjishtadi Kashaya, and Avipathi Choornam .",
Urinary tract infection,Drink plenty of fluids: Staying hydrated is important to flush out bacteria from the urinary tract. Drink an adequate amount of water and other fluids throughout the day.,Avoid cold drinks: Refrain from consuming cold drinks as they may aggravate the condition,
Psoriasis, Olive oil: Applying olive oil directly to psoriasis patches or adding it to a bath can help ease dryness and irritation, Aloe vera: Applying aloe vera gel to psoriasis plaques may help reduce itching?and?scaling.,"Cayenne pepper:  When applied topically, capsaicin may help block nerve endings that contribute to pain and reduce inflammation, scaling, and redness associated with psoriasis ."
Impetigo,Neem: You can apply neem oil or crushed neem bark directly to the affected area .,Garlic: You can incorporate garlic into your diet or apply crushed garlic to the place of impetigo.,
